iter	Passed	Remaining
887	14307	1804
888	14322	1788
889	14338	1772
890	14354	1756
891	14369	1739
892	14383	1723
893	14406	1708
894	14424	1692
895	14438	1675
896	14453	1659
897	14467	1643
898	14484	1627
899	14501	1611
900	14522	1595
901	14541	1579
902	14556	1563
903	14569	1547
904	14582	1530
905	14596	1514
906	14611	1498
907	14626	1482
908	14643	1465
909	14658	1449
910	14676	1433
911	14692	1417
912	14708	1401
913	14722	1385
914	14737	1369
915	14757	1353
916	14772	1337
917	14791	1321
918	14807	1305
919	14829	1289
920	14855	1274
921	14883	1259
922	14901	1243
923	14917	1227
924	14939	1211
925	14954	1195
926	14970	1178
927	14988	1162
928	15009	1147
929	15032	1131
930	15049	1115
931	15064	1099
932	15076	1082
933	15094	1066
934	15108	1050
935	15123	1034
936	15141	1018
937	15156	1001
938	15173	985
939	15191	969
940	15213	953
941	15229	937
942	15250	921
943	15263	905
944	15280	889
945	15296	873
946	15315	857
947	15333	841
948	15349	824
949	15365	808
950	15380	792
951	15400	776
952	15416	760
953	15432	744
954	15447	727
955	15464	711
956	15480	695
957	15500	679
958	15517	663
959	15533	647
960	15551	631
961	15565	614
962	15582	598
963	15597	582
964	15612	566
965	15629	550
966	15647	533
967	15664	517
968	15679	501
969	15699	485
970	15715	469
971	15733	453
972	15748	437
973	15764	420
974	15778	404
975	15797	388
976	15813	372
977	15829	356
978	15845	339
979	15860	323
980	15876	307
981	15893	291
982	15911	275
983	15930	259
984	15949	242
985	15965	226
986	15989	210
987	16010	194
988	16026	178
989	16042	162
990	16055	145
991	16069	129
992	16083	113
993	16098	97
994	16114	80
995	16127	64
996	16147	48
997	16163	32
998	16178	16
999	16193	0
